dialogue_id,turn_id,speaker,utterance,emotion,annotation
7,17,Phoebe,"Well, what am I going to tell Monica? She wants to wear them tonight!",fear,1003100
7,18,Rachel,Tell her to wear her own earrings.,non-neutral,2000102
7,19,Phoebe,These,neutral,5000000
7,20,Rachel,Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,anger,0001400
7,21,Phoebe,Why not?,neutral,4000010
7,22,Rachel,Because I lose her stuff!,non-neutral,1002200
8,0,Monica,"Well, you're-you're sweating.",neutral,5000000
8,1,Ross,These-these are beads of joy.,joy,2300000
8,2,Monica,Oh that's sweet. Don't touch me.,disgust,2000003
8,3,Ross,"Uh Phoebe, can I see you for a second?",neutral,5000000
8,4,Phoebe,Yeah!,neutral,3200000
8,5,Phoebe,What's going on?,neutral,4001000
8,6,Ross,Chandler's gone again!,surprise,0101030
8,7,Phoebe,Oh my God! Why would you play hide and seek with someone you know is a flight risk?!,non-neutral,0101120
9,0,Dr. Harad,Okay. You ready to push again?,neutral,4001000
9,1,Phoebe,I already had a baby. Leave me alone.,anger,0010400
9,2,Frank,"Okay, okay, come on, you can do it. You can do it!",joy,1400000
9,3,Frank,Yeah!!,joy,0500000
9,4,Frank,Little Leslie is here!,joy,1400000
9,5,Frank,We got another one!,surprise,0200030
9,6,Frank,"Oh my God, I can't believe I have two-two children.",surprise,0100040
9,7,Frank,How scary is that?,surprise,0002030
9,8,Frank,"Come on little Chandler, it's time to be born. Come on little Chandler! Come on!",joy,0500000
9,9,Dr. Harad,"All right, he's coming. He's coming!",joy,0300020
9,10,Frank,"Hey, where's his thing?",surprise,0001040
9,11,Frank,Chandler's a girl!,surprise,0100040
9,12,Chandler,"Oh God, kindergarten flashback.",surprise,0010031
9,13,Frank,They musta read the sonogram wrong.,surprise,0000230
9,14,Frank,"'Cause they, 'cause they thought it was a boy, but Chandler's a girl!",surprise,0000050
9,15,Frank,Chandler's a girl!,surprise,0200030
9,16,Chandler,"Okay, keep saying it!",joy,0300101
9,17,Alice,Am I too late?!,neutral,3002000
9,18,Frank,"No-no ah, everything's okay. Everybody's healthy there's 30 fingers and 30 toes.",joy,0500000
9,19,Alice,We have our babies?,surprise,0100040
9,20,Frank,Yeah.,joy,1400000
9,21,Alice,"Oh, we have our babies.",joy,0500000
10,0,Bob,Hey Toby!,joy,1400000
10,1,Chandler,Hey Bobby.,neutral,4001000
10,2,Bob,"It's Bob actually. Hey, you work up here, can you tell me where this Chandler",neutral,3000101
10,3,Chandler,"Uhh yeah. Yeah, it's  right, right down there.  Right there, yeah. Can I ask you why?",neutral,3001010
10,4,Bob,"I want to talk to that bastard, see what his problem is.",anger,0000500
10,5,Chandler,"Okay Bob listen uhh, I'm the reason you didn't get the job up here.",non-neutral,2002001
10,6,Bob,Toby don't.,non-neutral,2000201
10,7,Chandler,Bob!,non-neutral,1001120
10,8,Bob,Toby! I'm not gonna let you cover for him. Anything you say right now will just get me more upset with Chandler!,anger,0000410
10,9,Joey,Ohh!,surprise,1000040
10,10,Rachel,Thank you.  Oh Joey and look at this crib! It's so cute!,joy,0400010
10,11,Joey,I know! I found it on the street.,joy,0300020
10,12,Rachel,Are you seriousReally?! It's in such good condition.,surprise,0000050
10,13,Joey,Yeah.,neutral,4100000
10,14,Rachel,Wow! Whoa-whoa what's under the covers?,surprise,0100040
10,15,Joey,I don't know.,neutral,4000010
10,16,Rachel,It's moving.,non-neutral,1002020
10,17,Joey,Ew.,disgust,0002003
10,18,Rachel,It's stillIt's got a tail! Get it out of here! Get it out of here!!,fear,0005000
10,19,Joey,Ooh! Ah! Okay!,fear,0103010
11,0,Whitney,"Well, I went over to Kyle's last night to pick up a few things and we got to reminiscing",neutral,3020000
11,1,Kyle,we talked through most of the night and we realized that the reason we were so angry at each other was because there are still feelings there. So,non-neutral,2120000
11,2,Ross,Oh just say it Kyle!,surprise,0100130
11,3,Kyle,We're gonna give it another try.,joy,2300000
11,4,Phoebe,What about her whining and her constant need for attention?!,non-neutral,1000022
11,5,Whitney,I'm gonna work on that.,neutral,3110000
11,6,Phoebe,"Oh right, because you're so capable of change.",non-neutral,1000202
11,7,Ross,"Y'know, he hums when he pees!",non-neutral,1200011
11,8,Whitney,I do know.,neutral,4000001
11,9,Ross,"It makes him miss the bowl, but whatever.",disgust,1000004
11,10,Whitney,We're so sorry.,sadness,0050000
11,11,Ross,"That's all right, we-we don't need you. In fact, hey I'm over it already.",non-neutral,1020101
11,12,Phoebe,"Yeah, and y'know what? I don't give a tiny rat's ass.",anger,0010400
11,13,Kyle,"Yeah, we're gonna go.",neutral,3010001
11,14,Ross,"I'm sorry. Ugh, Pheebs, you were, you were right about her. Y'know, she",sadness,0030002
11,15,Phoebe,"Oh. Y'know, he hums while he does other stuff to.",neutral,3100001
11,16,Ross,"Yeah, we're better off without them.",non-neutral,2010200
11,17,Phoebe,"And y'know, even if they break up again, you'd better not let him in your sad men's club!",anger,1010300
11,18,Ross,Divorced men's club.,sadness,1030010
11,19,Phoebe,"Potato, Potaato.",neutral,4100000
12,0,Joey,Why isn't that valet back with my Porsche?,anger,1001300
12,1,Passerby,Maybe because you've got the keys?,non-neutral,2000201
12,2,Joey,Porsche.,neutral,3101000
12,3,Rachel,This is totally your fault!,anger,0000500
12,4,Ross,My fault?! You threatened the judge!,anger,0000500
12,5,Rachel,"Well, you ripped the paper out of the court reporter's machine!!",anger,0000500
12,6,Ross,"Can we, can we just forget this ever happened?",non-neutral,2000102
12,7,Rachel,"Yes of course, absolutely! You're right. I'm sorry.",sadness,2030000
12,8,Ross,Thank you.,neutral,4010000
12,9,Rachel,Yes.,neutral,4010000
12,10,Ross,"All right I guess I'm, gonna go pack.",neutral,3010001
12,11,Rachel,"Okay. Oh wait! One more thing umm, do-do we still need to uh settle the question of ""us?""",fear,1013000
13,0,Monica,Phoebe!,neutral,3200000
13,1,Phoebe,Yeah?,neutral,4000010
13,2,Monica,Have you seen Chandler?!,neutral,4000001
13,3,Phoebe,No! Why?,neutral,4000010
13,4,Monica,The woman from the museum called and said that there was a cancellation and that we could move up our wedding and Chandler heard!,fear,2003000
13,5,Monica,I know!,fear,2003000
13,6,Monica,How bad is this?,fear,1004000
13,7,Monica,!,neutral,3002000
13,8,Phoebe,"Well for the regular guy, it's bad, but Chandler, Oh dear God!",fear,0004010
13,9,Monica,I know! I know! And he totally freaked out and I can't find him anywhere!,fear,0004010
13,10,Phoebe,What are you gonna do?,neutral,3001010
13,11,Monica,"Well, I'm never gonna listen to you again, that's for sure!",anger,1000301
13,12,Monica,"""Y'know, harm can it do if you go and put your name down?""",neutral,3001001
13,13,Phoebe,Rachel said that!,surprise,0000131
13,14,Monica,Well Rachel's not here!,anger,1000400
14,0,Ross,"Come on, come on.",neutral,4000100
14,1,Ross,"Damnit, damnit, damnit, damnit.",anger,0000500
14,2,Ross,This is all your fault.,anger,0000401
14,3,Ross,"This is supposed to be, like, the greatest day of my life, y'know?",non-neutral,0010211
14,4,Ross,"My son is being born, and I should be in there, you know, instead of stuck in a closet with you.",anger,0020300
14,5,Susan,The woman I love is having a baby today. I've been waiting for this just as much as you have.,non-neutral,1210100
14,6,Ross,"No no no, believe me.",non-neutral,1001111
14,7,Ross,"No one has been waiting for this as much as I have, ok?",anger,2000300
14,8,Ross,And you know what the funny thing is?,neutral,3000110
14,9,Ross,"When this day is over, you get to go home with the baby, ok?",non-neutral,2010101
14,10,Ross,Where does that leave me?,sadness,0031010
14,11,Susan,You get to be the baby's father.,neutral,4000010
14,12,Susan,Everyone knows who you are.,neutral,5000000
14,13,Susan,Who am I?,non-neutral,2020010
14,14,Susan,"There's Mother's Day, there's Father's Day, there's no... Lesbian Lover Day.",sadness,0040001
14,15,Ross,Every day is Lesbian Lover Day.,neutral,3100100
14,16,Phoebe,This is so great.,joy,0400001
14,17,Ross,You wanna explain that?,neutral,3000020
14,18,Phoebe,"I mean, well, 'cause when I was growing up, you know my dad left, and my mother died, and my stepfather went to jail, so I barely had enough pieces of parents to make one whole one.",sadness,1040000
14,19,Phoebe,And here's this little baby who has like three whole parents who care about it so much that they're fighting over who gets to love it the most.,joy,1310000
14,20,Phoebe,And it's not even born yet.,non-neutral,2210000
14,21,Phoebe,"It's just, it's just the luckiest baby in the whole world.",joy,1400000
14,22,Phoebe,"I'm sorry, you were fighting.",sadness,2030000
15,0,Joey,"Okay, it's a typical New York City apartment. Two girls are just hanging out.",neutral,5000000
15,1,Monica,"Hi, how are you doing Kelly?",neutral,4100000
15,2,Rachel,"I'm doing just fine! God, Tiffany, you smell so great!",joy,0400010
15,3,Monica,It's my new perfume. Why don't you come closer where you can,neutral,3200000
15,4,Rachel,"Oh, y'know Joey, you are sick!",disgust,0000113
15,5,Monica,This is disgusting!,disgust,0000005
15,6,Rachel,I'm not reading this!,disgust,0000203
15,7,Joey,What?! Wait-wait-wait! The handsome man was about to enter!!,surprise,0110030
16,0,Joey,"All right, I'll give you this, Mr. Peanut is a better dresser.",neutral,5000000
16,1,Joey,"I mean he's got the monocle, he's got the top hat...",neutral,5000000
16,2,Phoebe,You know he's gay?,neutral,3000020
16,3,Ross,I just wanna clarify this: are you outing Mr. Peanut?,neutral,3000020
16,4,Chandler,"Danielle! Hi! Uh- everybody, this is Danielle, Danielle, everybody.",neutral,4100000
16,5,All,Hi. Hi.,neutral,5000000
16,6,Chandler,What are you doing here?,surprise,2000030
16,7,Chandler,"Well, what?",neutral,4000010
16,8,Chandler,What?,neutral,3000020
16,9,Chandler,What is it?,neutral,5000000
16,10,Chandler,That she left you?,surprise,2000030
16,11,Chandler,That she likes women?,neutral,3000020
16,12,Chandler,That she left you for another woman that likes women?,neutral,3000020
16,13,Ross,"Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...",anger,1000301
16,14,Chandler,Then what?,neutral,4000010
16,15,Ross,My first time with Carol was...,neutral,5000000
16,16,Joey,What?,neutral,3000020
16,17,Ross,It was my,neutral,5000000
16,18,Joey,With Carol?  Oh.,surprise,0000050
16,19,Chandler,"So in your whole life, you've only been with oneoh.",surprise,1000040
16,20,Joey,"Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!",non-neutral,1010120
17,0,Ross,Hi. Where is everybody?,neutral,4000010
17,1,Phoebe,"Oh, it's already closed, Chris gave me the keys to lock up-what is wrong?",non-neutral,1011020
17,2,Ross,"My marriage, I think my marriage is um, is kinda over.",sadness,0050000
17,3,Phoebe,Oh no! Why?,surprise,0010040
17,4,Ross,"Cause Carol's a lesbian.  And, and I'm not one. And apparently it's not a mix and match situation.",sadness,1040000
17,5,Phoebe,"Oh my God! I don't believe it! Oh, you poor bunny.",surprise,0020030
17,6,Ross,I'm an idiot.,disgust,0000104
17,7,Ross,"I mean shoulda seen it, I mean Carol and I'd be out and she'd, she'd see some beautiful woman, and, and she'd be Ross y'know look at her, and I'd think, God, my wife is cool!",non-neutral,0020012
17,8,Phoebe,"Aw! Hey, do you think that Susan person is her lover?",neutral,3001010
17,9,Ross,"Well, now I do!!",surprise,1000130
17,10,Phoebe,I'm sorry.,sadness,0050000
17,11,Ross,Seven years.,sadness,2030000
17,12,Ross,"I mean we've been together seven years, she's the only woman who's ever loved me, and the only woman I've-I've ever....",sadness,1040000
17,13,Phoebe,"Aw, God Ross. Oh.",sadness,0050000
17,14,Cookie,I'll do it.,neutral,5000000
17,15,Joey,No you won't.,neutral,3001100
17,16,Joey,"Look he knows he did a terrible thing and I believe him, he's sorry.",sadness,2030000
17,17,Joey,"But,  you've got one more apology to make, all right, you've got to apologize to Mary-Angela.",non-neutral,2010200
17,18,Chandler,"Okay, absolutely!",joy,1400000
17,19,Joey,All right.,neutral,5000000
17,20,Chandler,You've got it.,neutral,5000000
17,21,Joey,"Cookie, now you can punch him!",anger,2000300
17,22,Chandler,What?!,surprise,0001040
18,0,Phoebe,"All right, that's it, I quit.",anger,0000401
18,1,Monica,What? I didn't say anything.,surprise,0010040
18,2,Phoebe,"Yeah, but this  isn't the face of a person who trusts a person.",non-neutral,1000112
18,3,Phoebe,"Ok, this  is the face of a person who, you know, doesn't trust a person.",non-neutral,1010102
18,4,Monica,"I'm sorry. I'm sorry, Phoebe. It's just a little shorter than what we had discussed.",non-neutral,2020001
18,5,Phoebe,Would you relax? I know what I am doing. This is how he wears it.,anger,2000300
18,6,Monica,Julie.,neutral,5000000
18,7,Rachel,What?!,non-neutral,1000121
18,8,Monica,Jody!,surprise,2000030
18,9,Rachel,You were with Julie?,neutral,3010010
18,10,Monica,"Look, when it started I was just trying to be nice to her because she was my brother's girlfriend.",neutral,4000100
18,11,Monica,"And then, one thing led to another and, before I knew it, we were...shopping.",neutral,4000010
18,12,Rachel,Oh. Oh my God.,surprise,0001031
18,13,Monica,"Honey, wait. We only did it once. It didn't mean anything to me.",non-neutral,2011100
18,14,Rachel,"Yeah, right.  Sure!",anger,1000400
18,15,Monica,"Really, Rachel, I was thinking of you the whole time.",non-neutral,2021000
18,16,Monica,"Look, I'm sorry, all right.",sadness,1031000
18,17,Monica,I never meant for you to find out!,sadness,0031010
18,18,Rachel,"Oh, please, you wanted to get caught.",anger,1000301
18,19,Monica,That is not true!,anger,1000310
18,20,Rachel,"Oh, so you just sort of happened to leave it in here?",anger,1000400
18,21,Monica,Did it ever occur to you that I might just be that stupid?,non-neutral,2010101
18,22,Rachel,"Ok, Monica. I just have to know one thing. Did you go with her to",sadness,1030001
19,0,Phoebe,Hey!,joy,1300100
19,1,Monica,Yeah!,non-neutral,2200100
19,2,Phoebe,I can't say.,neutral,4000100
19,3,Monica,Why?!,surprise,0000050
19,4,Chandler,Why not?,non-neutral,2010020
19,5,Phoebe,I can't say because he's famous.,neutral,3011000
19,6,Rachel,"Oh my God, who is it?!",surprise,0001040
19,7,Monica,"Phoebe, come on, you have to tell us.",non-neutral,1101020
19,8,Phoebe,"Okay, okay. It's James Brolin. James Brolin is the father of my baby.",non-neutral,2201000
19,9,Chandler,As in Barbara Streisand's husband James Brolin?,surprise,1000040
19,10,Phoebe,What?! Well he never said that to me!,surprise,0000230
20,0,Ross,In,neutral,5000000
20,1,Phoebe,"Oh, this life! Oh okay no, Chandler's is worse.",sadness,0030110
20,2,Joey,"Man, it must be so cool remembering stuff like that! I don't have any past life memories.",non-neutral,1210010
20,3,Phoebe,Of course you don't sweetie. You're brand new.,neutral,5000000
20,4,Rachel,I know Monica's worst Thanksgiving.,neutral,4010000
20,5,Monica,"Oh, let's not tell this story.",non-neutral,1002101
20,6,All,"Oh, come on!",non-neutral,1001201
20,7,Phoebe,"Oh no, I know! I know! It's the one where Joey got Monica's turkey stuck on his head!",non-neutral,0200120
20,8,Rachel,What?! Joey got a turkey stuck on his head?!,surprise,0000050
20,9,Joey,"Hey, it's not like it sounds.",neutral,5000000
20,10,Chandler,It's,neutral,5000000
21,0,Monica,"Wendy, we had a deal!  Yeah, you promised! Wendy! Wendy! Wendy!",anger,0000320
21,1,Rachel,Who was that?,neutral,5000000
21,2,Monica,Wendy bailed. I have no waitress.,non-neutral,1010201
21,3,Rachel,Oh... that's too bad. Bye bye.,non-neutral,1120001
21,4,Monica,Ten dollars an hour.,neutral,4000001
21,5,Rachel,No.,neutral,5000000
21,6,Monica,Twelve dollars an hour.,neutral,4000001
21,7,Rachel,"Mon. I wish I could, but I've made plans to walk around.",neutral,4100000
21,8,Monica,"You know, Rachel, when you ran out of your wedding, I was there for you.",non-neutral,1000112
21,9,Monica,"I put a roof over your head, and if that means nothing to you...  twenty dollars an hour.",non-neutral,1000202
21,10,Rachel,Done.,joy,1400000
22,0,Joey,"The reactor's gonna blow in three seconds, we're never gonna make it!",fear,0005000
22,1,Phoebe,You've got to get out of here! Save yourself!,fear,0005000
22,2,Joey,No! I won't leave you!,fear,0014000
22,3,Phoebe,"Don't worry about me, I'm a robot! I'm just a machine!!",non-neutral,2011010
22,4,Joey,No you're not! Not to me!,non-neutral,0021020
22,5,Phoebe,Oh my God.,non-neutral,1001021
22,6,Joey,What?,neutral,3000011
22,7,Phoebe,I am,neutral,5000000
22,8,Joey,"Yeah, you're great! Okay, let's take it from",joy,0500000
22,9,Phoebe,"No, I mean I was really acting my ass off.",non-neutral,0200120
22,10,Joey,"Yeah, I thought I was pretty good too.",joy,1300001
22,11,Phoebe,"Oh yeah, you're solid. Yeah, you're just no me.",neutral,3100100
22,12,Joey,Y'know what? I think that's enough for now. Yeah. I don't want to be over rehearsed.,neutral,4000100
22,13,Phoebe,Fine!,anger,0000311
22,14,Phoebe,I'll do it without you!,anger,0000401
22,15,Phoebe,I don't need you or anybody else!,anger,0000302
22,16,Phoebe,I'm gonna make it on my own!,anger,0100400
22,17,Phoebe,You'll see!!,anger,0100400
22,18,Phoebe,You'll,neutral,4000100
23,0,Kori,I can't believe that Ross is gone. It is just so sad.,sadness,0050000
23,1,Chandler,I didn't know Ross and you were so close.,surprise,1000040
23,2,Kori,We weren't but we had one class together. He was such a great    guy and he talked so passionately about science. I always remembered him.,sadness,1130000
23,3,Chandler,I'm sure that would mean a lot to him.,neutral,4010000
23,4,Chandler,"And if heaven has a    door, I'm sure he's pressing his ear up against it and listening intently.",neutral,3110000
23,5,Kori,I thought so many times about calling him and asking him out.    I guess I really missed my chance.,sadness,0050000
23,6,Ross,But you didn't!,joy,1400000
23,7,Ross,I'm still alive!!,joy,0500000
23,8,Ross,"Kori, I know this is a big surprise for you.",joy,2300000
23,9,Ross,It's a long story but the things    you just said really made my day!,joy,0500000
23,10,Ross,"I mean, the fact that you are here means more    to me than if this room were filled with people!",joy,1400000
23,11,Kori,"You sick freak, who does that? I can't believe I had a crush on    you!",anger,0000302
23,12,Ross,Did you hear that? Kori Weston had a crush on me!!,non-neutral,0200120
24,0,Dr. Long,We'll do a quick check.,neutral,4000100
24,1,Rachel,Okay.,neutral,5000000
24,2,Dr. Long,"So, eight days late huh?",surprise,1000040
24,3,Rachel,Yeah.,neutral,4001000
24,4,Dr. Long,You must be a little uncomfortable.,neutral,4000010
24,5,Rachel,"Eh, just a tad.",neutral,4000100
24,6,Dr. Long,"You're about 80 percent effaced, so you're on your way.",neutral,5000000
24,7,Dr. Long,It still could last a little while longer.,neutral,5000000
24,8,Dr. Long,If you're anxious there are a few ways to help things along.,neutral,5000000
24,9,Ross,Do them!!,non-neutral,2000210
24,10,Dr. Long,"Actually, they're things you can do. Just some home remedies, but in my experience I've found that some of them are quite effective.",neutral,5000000
24,11,Rachel,"Well, we are ready to try anything.",neutral,4000100
24,12,Dr. Long,"Okay, there's an herbal tea you can drink.",neutral,5000000
24,13,Rachel,Okay.,neutral,5000000
24,14,Chandler,What is wrong with Emma?,non-neutral,1002020
24,15,Monica,"Oh she misunderstood, she thought she was moving to Tulsa.",neutral,5000000
25,0,Carol,Anytime you're ready.,neutral,5000000
25,1,Ross,"Ok, ok, here we go.",neutral,4001000
25,2,Ross,"Ok, where am I talking to, here?",neutral,4000010
25,3,Ross,"I mean, uh, well, there is one way that seems to offer a certain acoustical advantage, but...",neutral,5000000
25,4,Carol,Just aim for the bump.,neutral,5000000
25,5,Ross,"Ok, ok, ok, ok, here goes.",neutral,4001000
25,6,Ross,"You know, I, you know, can't do this.",fear,1103000
25,7,Ross,"Uh, this is too weird.",disgust,0002003
25,8,Ross,I feel stupid.,sadness,1030001
25,9,Carol,"So don't do it, it's fine. You don't have to do it just because Susan does it.",neutral,4000010
25,10,Ross,"Hello, baby. Hello, hello.",joy,2300000
26,0,Rachel,Hello!,joy,1300010
26,1,Mark,"Oh, hi. It's Mark.",neutral,5000000
26,2,Rachel,Oh.,neutral,5000000
26,3,Mark,What? Is it my breath?,fear,1003010
26,4,Rachel,Ow!,surprise,0000140
26,5,Ross,Rach?,neutral,5000000
26,6,Rachel,Ow! Ow!,surprise,0001130
26,7,Ross,Easy. Easy. You have to go to the hospital. Okay?,fear,1003010
26,8,Rachel,"Okay, I do.",neutral,3020000
26,9,Ross,Okay.,neutral,5000000
26,10,Rachel,I really do.,non-neutral,2012000
